PDB_file, description
ak2_seed-48_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=48 sample=2 template=off
ak2_seed-48_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=48 sample=3 template=off
ak2_seed-48_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=48 sample=4 template=off
ak2_seed-49_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=49 sample=0 template=off
ak2_seed-49_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=49 sample=1 template=off
ak2_seed-49_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=49 sample=2 template=off
ak2_seed-49_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=49 sample=3 template=off
ak2_seed-49_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=49 sample=4 template=off
ak2_seed-50_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=50 sample=0 template=off
ak2_seed-50_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=50 sample=1 template=off
ak2_seed-50_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=50 sample=2 template=off
ak2_seed-50_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=50 sample=3 template=off
ak2_seed-50_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=50 sample=4 template=off
ak2_seed-51_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=51 sample=0 template=off
ak2_seed-51_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=51 sample=1 template=off
ak2_seed-51_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=51 sample=2 template=off
ak2_seed-51_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=51 sample=3 template=off
ak2_seed-51_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=51 sample=4 template=off
ak2_seed-52_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=52 sample=0 template=off
ak2_seed-52_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=52 sample=1 template=off
ak2_seed-52_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=52 sample=2 template=off
ak2_seed-52_sample-3_model.pdb, tool=af3 msa=ak2_0.a3m seed=52 sample=3 template=off
ak2_seed-52_sample-4_model.pdb, tool=af3 msa=ak2_0.a3m seed=52 sample=4 template=off
ak2_seed-53_sample-0_model.pdb, tool=af3 msa=ak2_0.a3m seed=53 sample=0 template=off
ak2_seed-53_sample-1_model.pdb, tool=af3 msa=ak2_0.a3m seed=53 sample=1 template=off
ak2_seed-53_sample-2_model.pdb, tool=af3 msa=ak2_0.a3m seed=53 sample=2 template=off
